country,salary_eur,salary_pps,geo,pli_latest,pli_year,salary_real,eur_vs_pps_gap_pct,salary_eur_annual,salary_pps_annual,salary_real_annual,rank_eur,rank_real
Switzerland,10198.0,6481.0,CH,158.5,2024,6434.0,-36.4,122376.0,77772.0,77208.0,1,1
Ireland,7254.0,6102.0,IE,114.5,2024,6335.0,-15.9,87048.0,73224.0,76020.0,2,2
Norway,6875.0,4846.0,NO,131.2,2024,5240.0,-29.5,82500.0,58152.0,62880.0,3,4
Denmark,6495.0,4874.0,DK,120.2,2024,5403.0,-25.0,77940.0,58488.0,64836.0,4,3
Luxembourg,5943.0,4551.0,LU,124.8,2024,4762.0,-23.4,71316.0,54612.0,57144.0,5,6
Germany,5077.0,4537.0,DE,102.7,2024,4944.0,-10.6,60924.0,54444.0,59328.0,6,5
Belgium,4930.0,4405.0,BE,105.3,2024,4682.0,-10.6,59160.0,52860.0,56184.0,7,8
Sweden,4895.0,3861.0,SE,106.4,2024,4601.0,-21.1,58740.0,46332.0,55212.0,8,9
Finland,4824.0,3891.0,FI,109.8,2024,4393.0,-19.3,57888.0,46692.0,52716.0,9,10
Netherlands,4657.0,3979.0,NL,98.9,2024,4709.0,-14.6,55884.0,47748.0,56508.0,10,7
Austria,4568.0,4069.0,AT,110.5,2024,4134.0,-10.9,54816.0,48828.0,49608.0,11,11
France,4357.0,4011.0,FR,110.1,2024,3957.0,-7.9,52284.0,48132.0,47484.0,12,12
Cyprus,3405.0,3645.0,CY,104.7,2024,3252.0,7.0,40860.0,43740.0,39024.0,13,15
Lithuania,3315.0,4406.0,LT,101.2,2024,3276.0,32.9,39780.0,52872.0,39312.0,14,14
Italy,3168.0,3301.0,IT,101.7,2024,3115.0,4.2,38016.0,39612.0,37380.0,15,17
Estonia,3078.0,3430.0,EE,106.2,2024,2898.0,11.4,36936.0,41160.0,34776.0,16,21
Slovenia,3023.0,3563.0,SI,100.0,2024,3023.0,17.9,36276.0,42756.0,36276.0,17,18
Spain,2869.0,3076.0,ES,95.2,2024,3014.0,7.2,34428.0,36912.0,36168.0,18,19
Czechia,2779.0,3445.0,CZ,89.0,2024,3122.0,24.0,33348.0,41340.0,37464.0,19,16
Malta,2749.0,3083.0,MT,112.2,2024,2450.0,12.1,32988.0,36996.0,29400.0,20,23
Romania,2575.0,4605.0,RO,75.5,2024,3411.0,78.8,30900.0,55260.0,40932.0,21,13
Poland,2537.0,4128.0,PL,86.8,2024,2923.0,62.7,30444.0,49536.0,35076.0,22,20
Latvia,2492.0,3113.0,LV,105.4,2024,2364.0,24.9,29904.0,37356.0,28368.0,23,25
Croatia,2419.0,3334.0,HR,103.7,2024,2333.0,37.8,29028.0,40008.0,27996.0,24,26
Slovakia,2298.0,2898.0,SK,83.4,2024,2755.0,26.1,27576.0,34776.0,33060.0,25,22
Portugal,2234.0,2649.0,PT,101.5,2024,2201.0,18.6,26808.0,31788.0,26412.0,26,27
Bulgaria,2141.0,3552.0,BG,88.8,2024,2411.0,65.9,25692.0,42624.0,28932.0,27,24
Greece,2011.0,2452.0,EL,105.8,2024,1901.0,21.9,24132.0,29424.0,22812.0,28,29
Hungary,1998.0,3092.0,HU,94.8,2024,2108.0,54.8,23976.0,37104.0,25296.0,29,28
